AM016	[61.14361572265625,-57.97259521484375],[61.25299072265625,-58.03509521484375],[61.25299072265625,-58.00384521484375],[61.37799072265625,-58.03509521484375],[61.36236572265625,-58.09759521484375],[61.54986572265625,-58.16009521484375],[61.56549072265625,-58.09759521484375],[61.65924072265625,-58.11322021484375],[61.65924072265625,-58.16009521484375],[61.76861572265625,-58.20697021484375],[61.89361572265625,-57.91009521484375],[61.94049072265625,-57.91009521484375],[61.98736572265625,-57.89447021484375],[62.00299072265625,-57.83197021484375],[62.00299072265625,-57.78509521484375],[61.98736572265625,-57.73822021484375],[61.95611572265625,-57.73822021484375],[62.06549072265625,-57.44134521484375],[61.48736572265625,-57.20697021484375],[61.45611572265625,-57.34759521484375],[61.47174072265625,-57.34759521484375],[61.47174072265625,-57.42572021484375],[61.34674072265625,-57.44134521484375],[61.33111572265625,-57.56634521484375],[61.28424072265625,-57.66009521484375],[61.23736572265625,-57.64447021484375],[61.14361572265625,-57.92572021484375],[61.17486572265625,-57.92572021484375],[61.14361572265625,-57.97259521484375]
AM017	[27.95501708984375,-102.48779296875],[27.98626708984375,-102.37841796875],[28.11126708984375,-102.42529296875],[28.23626708984375,-102.15966796875],[28.14251708984375,-102.12841796875],[28.47064208984375,-101.55029296875],[28.54876708984375,-101.58154296875],[28.62689208984375,-101.44091796875],[28.58001708984375,-101.39404296875],[28.61126708984375,-101.33154296875],[28.79876708984375,-101.39404296875],[28.70501708984375,-101.67529296875],[28.79876708984375,-101.72216796875],[28.83001708984375,-101.64404296875],[28.89251708984375,-101.64404296875],[28.93939208984375,-101.64404296875],[28.95501708984375,-101.69091796875],[28.95501708984375,-101.76904296875],[29.03314208984375,-101.78466796875],[28.97064208984375,-101.95654296875],[29.04876708984375,-102.01904296875],[28.93939208984375,-102.28466796875],[28.86126708984375,-102.25341796875],[28.76751708984375,-102.40966796875],[28.70501708984375,-102.37841796875],[28.65814208984375,-102.39404296875],[28.58001708984375,-102.39404296875],[28.53314208984375,-102.36279296875],[28.53314208984375,-102.28466796875],[28.43939208984375,-102.25341796875],[28.34564208984375,-102.44091796875],[28.84564208984375,-102.73779296875],[28.70501708984375,-103.00341796875]
AM018	[30.62017822265625,-87.58837890625],[30.74517822265625,-87.40087890625],[30.57330322265625,-87.30712890625],[30.74517822265625,-87.02587890625],[30.88580322265625,-87.11962890625],[30.99517822265625,-86.97900390625],[32.16705322265625,-87.68212890625],[31.83892822265625,-88.24462890625],[31.87017822265625,-88.29150390625],[31.83892822265625,-88.36962890625],[31.68267822265625,-88.55712890625]
AM019	[46.63079833984375,-76.46209716796875],[48.00579833984375,-76.08709716796875],[48.50579833984375,-76.41522216796875],[48.77142333984375,-77.19647216796875],[48.81829833984375,-77.18084716796875],[48.99017333984375,-77.38397216796875],[49.13079833984375,-77.83709716796875],[47.25579833984375,-78.33709716796875]
AM020	[25.58221435546875,-106.10540771484375],[25.81658935546875,-105.82415771484375],[25.94158935546875,-105.83978271484375],[26.06658935546875,-105.41790771484375],[26.03533935546875,-105.19915771484375],[26.95721435546875,-105.44915771484375],[26.75408935546875,-106.18353271484375],[25.98846435546875,-105.98040771484375],[25.73846435546875,-106.26165771484375]
AM021	[61.56512451171875,-76.0465087890625],[61.78387451171875,-75.6871337890625],[61.83074951171875,-75.7340087890625],[61.87762451171875,-75.6558837890625],[62.00262451171875,-75.7496337890625],[62.15887451171875,-75.7183837890625],[62.25262451171875,-75.9215087890625],[62.28387451171875,-75.9215087890625],[62.36199951171875,-75.9683837890625],[62.36199951171875,-76.0308837890625],[62.33074951171875,-76.0933837890625],[62.26824951171875,-76.0933837890625],[62.26824951171875,-76.1715087890625],[62.25262451171875,-76.2496337890625],[62.20574951171875,-76.2965087890625],[62.09637451171875,-76.3746337890625],[61.92449951171875,-76.2652587890625],[61.90887451171875,-76.3121337890625],[61.70574951171875,-76.2027587890625],[61.73699951171875,-76.1715087890625]
AM022	[56.9736328125,-69.43560791015625],[56.9892578125,-69.34185791015625],[56.9580078125,-69.26373291015625],[57.0361328125,-69.09185791015625],[57.1455078125,-69.15435791015625],[57.1611328125,-69.12310791015625],[57.4892578125,-69.35748291015625],[57.4580078125,-69.40435791015625],[57.5361328125,-69.45123291015625],[57.4580078125,-69.59185791015625],[57.4267578125,-69.54498291015625],[57.3017578125,-69.68560791015625]
AM023	[28.26739501953125,-73.48699951171875],[28.36114501953125,-73.37762451171875],[28.72052001953125,-73.70574951171875],[28.64239501953125,-73.79949951171875]
AM024	[23.51446533203125,-81.0863037109375],[23.67071533203125,-80.7425537109375],[24.35821533203125,-81.1331787109375],[24.18634033203125,-81.4456787109375]
AM025	[35.79840087890625,-87.5576171875],[36.97027587890625,-86.6044921875],[37.48590087890625,-87.2294921875],[37.15777587890625,-87.5576171875],[37.23590087890625,-87.6201171875],[36.86090087890625,-87.9951171875],[36.79840087890625,-87.9013671875],[36.47027587890625,-88.2294921875]
AM026	[28.4583740234375,-74.955810546875],[28.6146240234375,-74.799560546875],[28.3802490234375,-74.408935546875],[28.5521240234375,-74.221435546875],[29.1927490234375,-75.065185546875],[28.9114990234375,-75.377685546875]
AM027	[18.390380859375,-99.12579345703125],[21.187255859375,-97.29766845703125],[21.515380859375,-98.15704345703125],[20.202880859375,-98.87579345703125],[20.359130859375,-99.20391845703125],[20.140380859375,-99.28204345703125],[20.171630859375,-99.39141845703125],[19.374755859375,-99.73516845703125],[18.968505859375,-99.86016845703125],[18.577880859375,-99.84454345703125]
AM028	[40.5164794921875,-81.177978515625],[41.2196044921875,-80.959228515625],[41.2821044921875,-81.318603515625],[40.6102294921875,-81.521728515625]
AM029	[40.2508544921875,-80.162353515625],[40.9227294921875,-80.006103515625],[41.0164794921875,-80.381103515625],[40.3133544921875,-80.506103515625]
AM030	[63.4942626953125,-75.23486328125],[63.4317626953125,-75.14111328125],[63.4786376953125,-74.70361328125],[63.5723876953125,-74.62548828125],[64.0255126953125,-74.70361328125],[63.9630126953125,-75.14111328125],[64.0098876953125,-75.20361328125],[63.9473876953125,-75.28173828125]
AM031	[42.359375,-84.1875],[42.453125,-84.171875],[42.390625,-84],[42.828125,-83.875],[42.875,-84.03125],[42.890625,-84.03125],[42.921875,-84.140625],[42.796875,-84.203125],[42.9375,-84.796875],[42.71875,-84.890625],[42.59375,-84.890625],[42.453125,-84.34375],[42.40625,-84.359375]
AM032	[47.4210205078125,-79.46435546875],[47.8272705078125,-79.27685546875],[48.0772705078125,-79.69873046875],[47.6866455078125,-79.93310546875]
AM033	[39.659912109375,-71.92755126953125],[40.159912109375,-71.89630126953125],[40.175537109375,-72.28692626953125],[39.659912109375,-72.33380126953125]
