3	MM031_三街會館	MM031_三街會館(關帝古廟)_公局新市南街_20200907_T	MM031_三街會館(關帝古廟)_公局新市南街_20200907_F1	MM031_三街會館(關帝古廟)_公局新市南街_20200907_F2									
2	MM032_土地古廟	MM032_土地古廟(沙梨頭)_麻子街_20200923_T	MM032_土地古廟(沙梨頭)_麻子街_20200923_F1										
2	MM033_城牆遺跡（大三巴）	MM033_城牆遺跡(聖方濟各斜巷一段)_聖方濟各斜巷_大三巴斜巷_20200915_T	MM033_城牆遺跡(聖方濟各斜巷一段)_聖方濟各斜巷_大三巴斜巷_20200915_F1										
2	MM034_賈梅士洞	MM034_賈梅士洞_白鴿巢公園_20200915_T	MM034_賈梅士洞_白鴿巢公園_20200915_F1										
2	MM035_刻有葡國徽號的石塊(蓮峯廟)	MM035_刻有葡國徽號的石塊(蓮峯廟旁)_拱形馬路_關閘馬路_20201008_T	MM035_刻有葡國徽號的石塊(蓮峯廟旁)_拱形馬路_關閘馬路_20201008_F1										
1	MM036_刻有葡國徵號的石塊(馬交石斜坡)	MM036_刻有葡國徵號的石塊(望廈馬交石斜坡旁)_馬交石斜坡_黑沙環斜路_20200923_T											
3	MM0037_雀仔園福德祠	MM0037_雀仔園福德祠_澳門馬大臣街與羅憲新街交界_20200830_T	MM0037_雀仔園福德祠_澳門馬大臣街與羅憲新街交界_20200830_F1	MM0037_雀仔園福德祠_澳門馬大臣街與羅憲新街交界_20200830_F2									
2	MM038_福德祠（大碼頭）	MM038_福德祠(大碼頭街)_澳門大碼頭街_20200917_T	MM038_福德祠(大碼頭街)_澳門大碼頭街_20200917_F1										
2	MM039_福德祠(石牆街)	MM039_福德祠(石牆街)_澳門石牆街34街_20200923_T	MM039_福德祠(石牆街)_澳門石牆街34街_20200923_F1										
2	MM040_福德祠(河邊新街)	MM040_福德祠(河邊新街)_澳門河邊新街131號_20200923_T	MM040_福德祠(河邊新街)_澳門河邊新街131號_20200923_F1										
1	MM041-1_城牆遺跡（加思欄）	MM041-1_城牆遺跡_近加思欄馬路_20200915_T											
1	MM041-2_城牆遺跡（若憲）	MM041-2_城牆遺跡_近若憲馬路_20200924_T											
4	MM041-3_城牆遺址(西望洋聖堂)	MM041-3_城牆遺址_近西望洋聖堂_20200925_T	MM041-3_城牆遺址_近西望洋聖堂_20200925_F1	MM041-3_城牆遺址_近西望洋聖堂_20200925_F2	MM041-3_城牆遺址_近西望洋聖堂_20200925_F3								
3	MM042_中西藥局舊址	MM042_中西藥局舊址_澳門草堆街_20200916_T	MM042_中西藥局舊址_澳門草堆街_20200916_F1	MM042_中西藥局舊址_澳門草堆街_20200916_F2									
3	MM043_葉挺將軍故居	MM043_葉挺將軍故居_澳門賈伯樂提督街76號_20200914_T	MM043_葉挺將軍故居_澳門賈伯樂提督街76號_20200914_F1	MM043_葉挺將軍故居_澳門賈伯樂提督街76號_20200914_F2									
2	MM044_更館	MM044_更館(沙梨頭)_澳門麻子街52-54號_20200924_T	MM044_更館(沙梨頭)_澳門麻子街52-54號_20200924_F1										
2	MM045_先鋒廟	MM045_先鋒廟_鄰近澳門連勝巷的土地_20200922_T	MM045_先鋒廟_鄰近澳門連勝巷的土地_20200922_F1										
0	MM046_聖保祿學院遺址												
4	MT001_嘉模聖母堂	MT001_嘉模聖母堂_嘉模前地_20201006_T	MT001_嘉模聖母堂_嘉模前地_20201006_F1	MT001_嘉模聖母堂_嘉模前地_20201006_F2					MT001_嘉模聖母堂_嘉模前地_20201006_D1				
2	MT002_觀音堂(氹仔)	MT002_觀音堂(氹仔)_施督憲正街_20201006_T	MT002_觀音堂(氹仔)_施督憲正街_20201006_F1										
4	MT003_觀音岩(氹仔東北馬路)	MT003_觀音岩(氹仔東北馬路)_氹仔東北馬路_20201006_T	MT003_觀音岩(氹仔東北馬路)_氹仔東北馬路_20201006_F1	MT003_觀音岩(氹仔東北馬路)_氹仔東北馬路_20201006_F2					MT003_觀音岩(氹仔東北馬路)_氹仔東北馬路_20201006_D1				
2	MT004_醫靈廟	MT004_醫靈廟_施督憲正街_20201006_T	MT004_醫靈廟_施督憲正街_20201006_F1										
2	MT005_北帝廟	MT005_北帝廟_嘉妹前地_20201006_T	MT005_北帝廟_嘉妹前地_20201006_F1										
2	MT006_天后廟	MT006_天后廟_巴波沙總督街_20201006_T	MT006_天后廟_巴波沙總督街_20201006_F1										
4	MT007_三婆廟	MT007_三婆廟_飛能便度街_20201006_T	MT007_三婆廟_飛能便度街_20201006_F1	MT007_三婆廟_飛能便度街_20201006_F2	MT007_三婆廟_飛能便度街_20201006_F3								
4	MT008_關帝殿及天后宮	MT008_關帝殿及天后宮_天津街_20201006_T	MT008_關帝殿及天后宮_天津街_20201006_F1	MT008_關帝殿及天后宮_天津街_20201006_F2					MT008_關帝殿及天后宮_天津街_20201006_D1				
4	MT009_氹仔炮台	MT009_氹仔炮台_盧伯德圓形地_20201006_T	MT009_氹仔炮台_盧伯德圓形地_20201006_F1	MT009_氹仔炮台_盧伯德圓形地_20201006_F2					MT009_氹仔炮台_盧伯德圓形地_20201006_D1				
5	MC001_聖方濟各堂	MC001_聖方濟各堂_馬忌士前地_20201012_T	MC001_聖方濟各堂_馬忌士前地_20201012_F1	MC001_聖方濟各堂_馬忌士前地_20201012_F2					MC001_聖方濟各堂_馬忌士前地_20201012_D1	MC001_聖方濟各堂_馬忌士前地_20201012_D2			
4	MC002_譚倦聖廟	MC002_譚倦聖廟(譚公廟)_譚公廟前地_20201012_T	MC002_譚倦聖廟(譚公廟)_譚公廟前地_20201012_F1						MC002_譚倦聖廟(譚公廟)_譚公廟前地_20201012_D1	MC002_譚倦聖廟(譚公廟)_譚公廟前地_20201012_D2			
2	MC003_天后古廟	MC003_天后古廟_天后古廟前地_20201012_T	MC003_天后古廟_天后古廟前地_20201012_F1										
4	MC004_觀音廟(九澳村)	MC004_觀音廟(九澳)_九澳村_20201012_T	MC004_觀音廟(九澳)_九澳村_20201012_F1	MC004_觀音廟(九澳)_九澳村_20201012_F2	MC004_觀音廟(九澳)_九澳村_20201012_F3								
3	MC005_三聖宮	  	MC005_三聖宮_船人街_20201012_F1	MC005_三聖宮_船人街_20201012_F2									
3	MC006_大王廟	MC006_大王廟_黑沙村_20201012_T	MC006_大王廟_黑沙村_20201012_F1	MC006_大王廟_黑沙村_20201012_F2									
3	MC007_觀音古廟	MC007_觀音古廟(路環)_大廟巷_20201012_T	MC007_觀音古廟(路環)_大廟巷_20201012_F1	MC007_觀音古廟(路環)_大廟巷_20201012_F2									
