0	AM001_禮賓府																
4	AM028_大堂前地1號房屋	AM028_大堂前地1號房屋_大堂前地1號_T	AM028_大堂前地1號房屋_大堂前地1號_F1	AM028_大堂前地1號房屋_大堂前地1號_F2	AM028_大堂前地1號房屋_大堂前地1號_F3												
4	AM029_盧家大屋	AM029_盧家大屋_大堂巷7號_T	AM029_盧家大屋_大堂巷7號_F1								AM029_盧家大屋_大堂巷7號_D1	AM029_盧家大屋_大堂巷7號_D2					
3	AM030_原文第士大宅舊址	"AM030_原文第士大宅舊址_地厘古工程師馬路_松山馬路2,4號_T"	"AM030_原文第士大宅舊址_地厘古工程師馬路_松山馬路2,4號_F1"	"AM030_原文第士大宅舊址_地厘古工程師馬路_松山馬路2,4號_F2"													
2	AM031_南灣大馬路679號房屋	AM031_南灣大馬路679號房屋_南灣大馬路679號_T	AM031_南灣大馬路679號房屋_南灣大馬路679號_F1														
4	AM032_水坑尾街165號房屋	AM032_水坑尾街165號房屋_水坑尾街165號_20200826_T	AM032_水坑尾街165號房屋_水坑尾街165號_20200826_F1	AM032_水坑尾街165號房屋_水坑尾街165號_20200826_F2	AM032_水坑尾街165號房屋_水坑尾街165號_20200826_F3												
5	AM033_耶穌會紀念廣場2號號房屋	AM033_耶穌會紀念廣場2號房屋_耶穌會紀念廣場2號_20200911_T	AM033_耶穌會紀念廣場2號房屋_耶穌會紀念廣場2號_20200911_F1	AM033_耶穌會紀念廣場2號房屋_耶穌會紀念廣場2號_20200911_F2	AM033_耶穌會紀念廣場2號房屋_耶穌會紀念廣場2號_20200911_F3	AM033_耶穌會紀念廣場2號房屋_耶穌會紀念廣場2號_20200911_F4											
3	AM034_伯多祿長街房屋	"AM034_伯多祿長街24A號,26號,28號,28A號房屋_伯多祿局長街_白馬行24A號,26號,28號,28A號_20200908_T"	"AM034_伯多祿長街24A號,26號,28號,28A號房屋_伯多祿局長街_白馬行24A號,26號,28號,28A號_20200908_F1"	"AM034_伯多祿長街24A號,26號,28號,28A號房屋_伯多祿局長街_白馬行24A號,26號,28號,28A號_20200908_F2"													
3	AM035_原怡和洋行舊址	AM035_原怡和洋行舊址_西灣街17號_20200925_T	AM035_原怡和洋行舊址_西灣街17號_20200925_F1	AM035_原怡和洋行舊址_西灣街17號_20200925_F2													
3	AM036_民國大馬路6號房屋	AM036_民國大馬路6號房屋_民國大馬路6號_20200921_T	AM036_民國大馬路6號房屋_民國大馬路6號_20200921_F1	AM036_民國大馬路6號房屋_民國大馬路6號_20200921_F2													
3	AM037_德生大按	AM037_德生大按_十月初五日街_泗𠵼街64號_20200916_T	AM037_德生大按_十月初五日街_泗𠵼街64號_20200916_F1	AM037_德生大按_十月初五日街_泗𠵼街64號_20200916_F2													
2	AM038_高陞大按	AM038_高陞大按_板樟堂街6號_20200904_T									AM038_高陞大按_板樟堂街6號_20200904_D1						
3	AM039_德成按	AM039_德成按_庇山耶街_爐石塘59號_20200926_T	AM039_德成按_庇山耶街_爐石塘59號_20200926_F1	AM039_德成按_庇山耶街_爐石塘59號_20200926_F2													
2	AM040_人昌按	AM040_人昌按_道德巷_深巷橫街3號_20200916_T									AM040_人昌按_道德巷_深巷橫街3號_20200916_D1						
2	"AM041_高士德大馬路14,16號"	"AM041_高士德大馬路14,16號_高士德大馬路14,16號_20200922_T"	"AM041_高士德大馬路14,16號_高士德大馬路14,16號_20200922_F1"														
3	AM042_市政牧場舊址及市政狗房	AM042_市政牧場舊址及市政狗房_澳門罅些喇提督大馬路_20200923_T	AM042_市政牧場舊址及市政狗房_澳門罅些喇提督大馬路_20200923_F1	AM042_市政牧場舊址及市政狗房_澳門罅些喇提督大馬路_20200923_F2													
3	AM043_西墳馬路6號房屋	AM043_西墳馬路6號房屋(藍屋仔)_澳門西墳馬路6號及區華利街9號_20200924_T	AM043_西墳馬路6號房屋(藍屋仔)_澳門西墳馬路6號及區華利街9號_20200924_F1	AM043_西墳馬路6號房屋(藍屋仔)_澳門西墳馬路6號及區華利街9號_20200924_F2													
2	AM044_東望洋斜巷6號房屋	AM044_東望洋斜巷6號房屋_澳門東望洋斜巷6號_20200825_T	AM044_東望洋斜巷6號房屋_澳門東望洋斜巷6號_20200825_F1														
3	AM045_得勝斜巷30號房屋	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_T	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_F1	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_F2													
3	AM046_穆薩家族房屋	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_T	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_F1	AM045_得勝斜巷30號房屋_澳門得勝斜巷30號房屋_20200924_F2													
3	AT001_路氹歷史館	AT001_路氹歷史館(原海島市政廳舊址)_各利雅施利華街_20201006_T	AT001_路氹歷史館(原海島市政廳舊址)_各利雅施利華街_20201006_F1	AT001_路氹歷史館(原海島市政廳舊址)_各利雅施利華街_20201006_F2													
3	AT002_寶信押	AT002_寶信押_福隆巷1號_20201006_T	AT002_寶信押_福隆巷1號_20201006_F1	AT002_寶信押_福隆巷1號_20201006_F2													
3	AC001_路環圖書館	AC001_路環圖書館_十月初五馬路_20201012_T	AC001_路環圖書館_十月初五馬路_20201012_F1	AC001_路環圖書館_十月初五馬路_20201012_F2													
